Timestamp_Video_s,Anotador,Classe
20.6206,Manual,Blender
22.9229,Manual,Blender
24.5912,Manual,Blender
24.9583,Manual,Blender
24.9916,Manual,Blender
25.0250,Manual,Blender
25.0584,Manual,Blender
25.0917,Manual,Blender
25.1251,Manual,Blender
25.1585,Manual,Blender
25.1918,Manual,Blender
25.2252,Manual,Blender
25.2586,Manual,Blender
25.2919,Manual,Blender
25.3253,Manual,Blender
25.3587,Manual,Blender
25.3920,Manual,Blender
25.4254,Manual,Blender
25.4588,Manual,Blender
25.4921,Manual,Blender
25.5255,Manual,Blender
25.5589,Manual,Blender
25.5922,Manual,Blender
25.6256,Manual,Blender
25.6590,Manual,Blender
25.6923,Manual,Blender
25.7257,Manual,Blender
25.7591,Manual,Blender
25.7924,Manual,Blender
25.8258,Manual,Blender
25.8592,Manual,Blender
25.8925,Manual,Blender
25.9259,Manual,Blender
25.9593,Manual,Blender
25.9926,Manual,Blender
26.0260,Manual,Blender
26.0594,Manual,Blender
26.0927,Manual,Blender
26.1261,Manual,Blender
26.1595,Manual,Blender
26.1928,Manual,Blender
26.2262,Manual,Blender
26.2596,Manual,Blender
26.2929,Manual,Blender
26.3263,Manual,Blender
26.3597,Manual,Blender
26.3930,Manual,Blender
26.4264,Manual,Blender
26.4598,Manual,Blender
26.4931,Manual,Blender
26.5265,Manual,Blender
26.5599,Manual,Blender
26.5932,Manual,Blender
26.6266,Manual,Blender
26.6600,Manual,Blender
26.6933,Manual,Blender
26.7267,Manual,Blender
26.7601,Manual,Blender
26.7934,Manual,Blender
26.8268,Manual,Blender
26.8602,Manual,Blender
26.8935,Manual,Blender
26.9269,Manual,Blender
26.9603,Manual,Blender
26.9936,Manual,Blender
27.0270,Manual,Blender
27.0604,Manual,Blender
27.0937,Manual,Blender
27.1271,Manual,Blender
27.1605,Manual,Blender
27.1938,Manual,Blender
27.2272,Manual,Blender
27.2606,Manual,Blender
27.2939,Manual,Blender
27.3273,Manual,Blender
27.3607,Manual,Blender
27.3940,Manual,Blender
27.4274,Manual,Blender
27.4608,Manual,Blender
27.4941,Manual,Blender
27.5275,Manual,Blender
27.5609,Manual,Blender
27.5942,Manual,Blender
27.6276,Manual,Blender
27.6610,Manual,Blender
27.6943,Manual,Blender
27.7277,Manual,Blender
27.7611,Manual,Blender
27.7944,Manual,Blender
27.8278,Manual,Blender
27.8612,Manual,Blender
27.8945,Manual,Blender
27.9279,Manual,Blender
27.9613,Manual,Blender
27.9946,Manual,Blender
28.0280,Manual,Blender
28.0614,Manual,Blender
28.0947,Manual,Blender
28.1281,Manual,Blender
28.1615,Manual,Blender
28.1948,Manual,Blender
28.2282,Manual,Blender
28.2616,Manual,Blender
28.2949,Manual,Blender
28.3283,Manual,Blender
28.3617,Manual,Blender
28.3950,Manual,Blender
28.4284,Manual,Blender
28.4618,Manual,Blender
28.4951,Manual,Blender
28.5285,Manual,Blender
28.5619,Manual,Blender
28.5952,Manual,Blender
28.6286,Manual,Blender
28.6620,Manual,Blender
28.6953,Manual,Blender
28.7287,Manual,Blender
28.7621,Manual,Blender
28.7954,Manual,Blender
28.8288,Manual,Blender
28.8622,Manual,Blender
28.8955,Manual,Blender
28.9289,Manual,Blender
28.9623,Manual,Blender
28.9956,Manual,Blender
29.0290,Manual,Blender
29.0624,Manual,Blender
29.0957,Manual,Blender
29.1291,Manual,Blender
29.1625,Manual,Blender
29.1958,Manual,Blender
29.2292,Manual,Blender
29.2626,Manual,Blender
29.2959,Manual,Blender
29.3293,Manual,Blender
29.3627,Manual,Blender
29.3960,Manual,Blender
29.4294,Manual,Blender
29.4628,Manual,Blender
29.4961,Manual,Blender
29.5295,Manual,Blender
29.5629,Manual,Blender
29.5962,Manual,Blender
29.6296,Manual,Blender
29.6630,Manual,Blender
29.6963,Manual,Blender
29.7297,Manual,Blender
29.7631,Manual,Blender
29.7964,Manual,Blender
29.8298,Manual,Blender
29.8632,Manual,Blender
29.8965,Manual,Blender
29.9299,Manual,Blender
29.9633,Manual,Blender
29.9966,Manual,Blender
30.0300,Manual,Blender
30.0634,Manual,Blender
30.4304,Manual,Blender
30.4638,Manual,Blender
30.4971,Manual,Blender
30.5305,Manual,Blender
30.5639,Manual,Blender
30.5972,Manual,Blender
30.6306,Manual,Blender
30.6640,Manual,Blender
30.6973,Manual,Blender
30.7307,Manual,Blender
30.7641,Manual,Blender
30.7974,Manual,Blender
30.8308,Manual,Blender
30.8642,Manual,Blender
30.8975,Manual,Blender
30.9309,Manual,Blender
30.9643,Manual,Blender
30.9976,Manual,Blender
31.0310,Manual,Blender
31.0644,Manual,Blender
31.0977,Manual,Blender
31.1311,Manual,Blender
31.1645,Manual,Blender
31.1978,Manual,Blender
31.2312,Manual,Blender
31.2646,Manual,Blender
31.2979,Manual,Blender
31.3313,Manual,Blender
31.3647,Manual,Blender
31.3980,Manual,Blender
31.4314,Manual,Blender
31.4648,Manual,Blender
31.4981,Manual,Blender
31.5315,Manual,Blender
31.5649,Manual,Blender
31.5982,Manual,Blender
31.6316,Manual,Blender
31.6650,Manual,Blender
31.6983,Manual,Blender
31.7317,Manual,Blender
31.7651,Manual,Blender
31.7984,Manual,Blender
31.8318,Manual,Blender
31.8652,Manual,Blender
31.8985,Manual,Blender
31.9319,Manual,Blender
31.9653,Manual,Blender
31.9986,Manual,Blender
32.0320,Manual,Blender
32.0654,Manual,Blender
32.0987,Manual,Blender
32.1321,Manual,Blender
32.1655,Manual,Blender
32.1988,Manual,Blender
32.2322,Manual,Blender
32.2656,Manual,Blender
32.2989,Manual,Blender
32.3323,Manual,Blender
32.3657,Manual,Blender
32.3990,Manual,Blender
32.4324,Manual,Blender
32.4658,Manual,Blender
32.4991,Manual,Blender
32.5325,Manual,Blender
32.5659,Manual,Blender
32.5992,Manual,Blender
32.6326,Manual,Blender
32.6660,Manual,Blender
32.6993,Manual,Blender
32.7327,Manual,Blender
32.7661,Manual,Blender
32.7994,Manual,Blender
