Timestamp_Video_s,Anotador,Classe
1.3000,Manual,Hair_Dryer
1.7000,Manual,Hair_Dryer
1.7333,Manual,Hair_Dryer
1.7667,Manual,Hair_Dryer
1.8000,Manual,Hair_Dryer
1.8333,Manual,Hair_Dryer
1.8667,Manual,Hair_Dryer
1.9000,Manual,Hair_Dryer
1.9333,Manual,Hair_Dryer
1.9667,Manual,Hair_Dryer
2.0000,Manual,Hair_Dryer
2.0333,Manual,Hair_Dryer
2.0667,Manual,Hair_Dryer
2.1000,Manual,Hair_Dryer
2.1333,Manual,Hair_Dryer
2.1667,Manual,Hair_Dryer
2.2000,Manual,Hair_Dryer
2.2333,Manual,Hair_Dryer
2.2667,Manual,Hair_Dryer
2.3000,Manual,Hair_Dryer
2.3333,Manual,Hair_Dryer
2.3667,Manual,Hair_Dryer
2.4000,Manual,Hair_Dryer
2.4333,Manual,Hair_Dryer
2.4667,Manual,Hair_Dryer
2.5000,Manual,Hair_Dryer
2.5333,Manual,Hair_Dryer
2.5667,Manual,Hair_Dryer
2.6000,Manual,Hair_Dryer
2.6333,Manual,Hair_Dryer
2.6667,Manual,Hair_Dryer
2.7000,Manual,Hair_Dryer
2.7333,Manual,Hair_Dryer
2.7667,Manual,Hair_Dryer
2.8000,Manual,Hair_Dryer
2.8333,Manual,Hair_Dryer
2.8667,Manual,Hair_Dryer
2.9000,Manual,Hair_Dryer
2.9333,Manual,Hair_Dryer
2.9667,Manual,Hair_Dryer
3.0000,Manual,Hair_Dryer
3.0333,Manual,Hair_Dryer
3.0667,Manual,Hair_Dryer
3.1000,Manual,Hair_Dryer
3.1333,Manual,Hair_Dryer
3.1667,Manual,Hair_Dryer
3.2000,Manual,Hair_Dryer
3.2333,Manual,Hair_Dryer
3.2667,Manual,Hair_Dryer
3.3000,Manual,Hair_Dryer
3.3333,Manual,Hair_Dryer
3.3667,Manual,Hair_Dryer
3.4000,Manual,Hair_Dryer
3.4333,Manual,Hair_Dryer
3.4667,Manual,Hair_Dryer
3.5000,Manual,Hair_Dryer
3.5333,Manual,Hair_Dryer
3.5667,Manual,Hair_Dryer
3.6000,Manual,Hair_Dryer
3.6333,Manual,Hair_Dryer
3.6667,Manual,Hair_Dryer
3.7000,Manual,Hair_Dryer
3.7333,Manual,Hair_Dryer
3.7667,Manual,Hair_Dryer
3.8000,Manual,Hair_Dryer
3.8333,Manual,Hair_Dryer
3.8667,Manual,Hair_Dryer
3.9000,Manual,Hair_Dryer
3.9333,Manual,Hair_Dryer
3.9667,Manual,Hair_Dryer
4.0000,Manual,Hair_Dryer
4.0333,Manual,Hair_Dryer
4.0667,Manual,Hair_Dryer
4.1000,Manual,Hair_Dryer
4.1333,Manual,Hair_Dryer
4.1667,Manual,Hair_Dryer
4.2000,Manual,Hair_Dryer
4.2333,Manual,Hair_Dryer
4.2667,Manual,Hair_Dryer
4.3000,Manual,Hair_Dryer
4.3333,Manual,Hair_Dryer
4.3667,Manual,Hair_Dryer
4.4000,Manual,Hair_Dryer
4.4333,Manual,Hair_Dryer
4.4667,Manual,Hair_Dryer
4.5000,Manual,Hair_Dryer
4.5333,Manual,Hair_Dryer
4.5667,Manual,Hair_Dryer
4.6000,Manual,Hair_Dryer
4.6333,Manual,Hair_Dryer
4.6667,Manual,Hair_Dryer
4.7000,Manual,Hair_Dryer
4.7333,Manual,Hair_Dryer
4.7667,Manual,Hair_Dryer
4.8000,Manual,Hair_Dryer
4.8333,Manual,Hair_Dryer
4.8667,Manual,Hair_Dryer
4.9000,Manual,Hair_Dryer
4.9333,Manual,Hair_Dryer
4.9667,Manual,Hair_Dryer
5.0000,Manual,Hair_Dryer
5.0333,Manual,Hair_Dryer
5.0667,Manual,Hair_Dryer
5.1000,Manual,Hair_Dryer
5.1333,Manual,Hair_Dryer
5.1667,Manual,Hair_Dryer
5.2000,Manual,Hair_Dryer
5.2333,Manual,Hair_Dryer
5.2667,Manual,Hair_Dryer
5.3000,Manual,Hair_Dryer
5.3333,Manual,Hair_Dryer
5.3667,Manual,Hair_Dryer
5.4000,Manual,Hair_Dryer
5.4333,Manual,Hair_Dryer
5.4667,Manual,Hair_Dryer
5.5000,Manual,Hair_Dryer
5.5333,Manual,Hair_Dryer
5.5667,Manual,Hair_Dryer
5.6000,Manual,Hair_Dryer
5.6333,Manual,Hair_Dryer
5.6667,Manual,Hair_Dryer
5.7000,Manual,Hair_Dryer
5.7333,Manual,Hair_Dryer
5.7667,Manual,Hair_Dryer
5.8000,Manual,Hair_Dryer
5.8333,Manual,Hair_Dryer
5.8667,Manual,Hair_Dryer
5.9000,Manual,Hair_Dryer
5.9333,Manual,Hair_Dryer
5.9667,Manual,Hair_Dryer
6.0000,Manual,Hair_Dryer
6.0333,Manual,Hair_Dryer
6.0667,Manual,Hair_Dryer
6.1000,Manual,Hair_Dryer
6.1333,Manual,Hair_Dryer
6.1667,Manual,Hair_Dryer
6.2000,Manual,Hair_Dryer
6.2333,Manual,Hair_Dryer
6.2667,Manual,Hair_Dryer
6.3000,Manual,Hair_Dryer
6.3333,Manual,Hair_Dryer
6.3667,Manual,Hair_Dryer
6.4000,Manual,Hair_Dryer
6.4333,Manual,Hair_Dryer
6.4667,Manual,Hair_Dryer
6.5000,Manual,Hair_Dryer
6.5333,Manual,Hair_Dryer
6.5667,Manual,Hair_Dryer
6.6000,Manual,Hair_Dryer
6.6333,Manual,Hair_Dryer
6.6667,Manual,Hair_Dryer
6.7000,Manual,Hair_Dryer
6.7333,Manual,Hair_Dryer
6.7667,Manual,Hair_Dryer
6.8000,Manual,Hair_Dryer
6.8333,Manual,Hair_Dryer
6.8667,Manual,Hair_Dryer
6.9000,Manual,Hair_Dryer
6.9333,Manual,Hair_Dryer
6.9667,Manual,Hair_Dryer
7.0000,Manual,Hair_Dryer
7.0333,Manual,Hair_Dryer
7.0667,Manual,Hair_Dryer
7.1000,Manual,Hair_Dryer
