Timestamp_Video_s,Anotador,Classe
1.0000,Manual,Mixer
1.0333,Manual,Mixer
1.0667,Manual,Mixer
1.1000,Manual,Mixer
1.1333,Manual,Mixer
1.1667,Manual,Mixer
1.2000,Manual,Mixer
1.2333,Manual,Mixer
1.2667,Manual,Mixer
1.3000,Manual,Mixer
1.3333,Manual,Mixer
1.3667,Manual,Mixer
1.4000,Manual,Mixer
1.4333,Manual,Mixer
1.4667,Manual,Mixer
1.5000,Manual,Mixer
1.5333,Manual,Mixer
1.5667,Manual,Mixer
1.6000,Manual,Mixer
1.6333,Manual,Mixer
1.6667,Manual,Mixer
1.7000,Manual,Mixer
1.7333,Manual,Mixer
1.7667,Manual,Mixer
1.8000,Manual,Mixer
1.8333,Manual,Mixer
1.8667,Manual,Mixer
1.9000,Manual,Mixer
1.9333,Manual,Mixer
1.9667,Manual,Mixer
2.0000,Manual,Mixer
2.0333,Manual,Mixer
2.0667,Manual,Mixer
2.1000,Manual,Mixer
2.1333,Manual,Mixer
2.1667,Manual,Mixer
2.2000,Manual,Mixer
2.2333,Manual,Mixer
2.2667,Manual,Mixer
2.3000,Manual,Mixer
2.3333,Manual,Mixer
2.3667,Manual,Mixer
2.4000,Manual,Mixer
2.4333,Manual,Mixer
2.4667,Manual,Mixer
2.5000,Manual,Mixer
2.5333,Manual,Mixer
2.5667,Manual,Mixer
2.6000,Manual,Mixer
2.6333,Manual,Mixer
2.6667,Manual,Mixer
2.7000,Manual,Mixer
2.7333,Manual,Mixer
2.7667,Manual,Mixer
2.8000,Manual,Mixer
2.8333,Manual,Mixer
2.8667,Manual,Mixer
2.9000,Manual,Mixer
2.9333,Manual,Mixer
2.9667,Manual,Mixer
3.0000,Manual,Mixer
3.0333,Manual,Mixer
3.0667,Manual,Mixer
3.1000,Manual,Mixer
3.1333,Manual,Mixer
3.1667,Manual,Mixer
3.2000,Manual,Mixer
3.2333,Manual,Mixer
3.2667,Manual,Mixer
3.3000,Manual,Mixer
3.3333,Manual,Mixer
3.3667,Manual,Mixer
3.4000,Manual,Mixer
3.4333,Manual,Mixer
3.4667,Manual,Mixer
3.5000,Manual,Mixer
3.5333,Manual,Mixer
3.5667,Manual,Mixer
3.6000,Manual,Mixer
3.6333,Manual,Mixer
3.6667,Manual,Mixer
3.7000,Manual,Mixer
3.7333,Manual,Mixer
3.7667,Manual,Mixer
3.8000,Manual,Mixer
3.8333,Manual,Mixer
3.8667,Manual,Mixer
3.9000,Manual,Mixer
3.9333,Manual,Mixer
3.9667,Manual,Mixer
4.0000,Manual,Mixer
4.0333,Manual,Mixer
4.0667,Manual,Mixer
4.1000,Manual,Mixer
4.1333,Manual,Mixer
4.1667,Manual,Mixer
4.2000,Manual,Mixer
4.2333,Manual,Mixer
4.2667,Manual,Mixer
4.3000,Manual,Mixer
4.3333,Manual,Mixer
4.3667,Manual,Mixer
4.4000,Manual,Mixer
4.4333,Manual,Mixer
4.4667,Manual,Mixer
4.5000,Manual,Mixer
4.5333,Manual,Mixer
4.5667,Manual,Mixer
4.6000,Manual,Mixer
4.6333,Manual,Mixer
4.6667,Manual,Mixer
4.7000,Manual,Mixer
4.7333,Manual,Mixer
4.7667,Manual,Mixer
4.8000,Manual,Mixer
4.8333,Manual,Mixer
4.8667,Manual,Mixer
4.9000,Manual,Mixer
4.9333,Manual,Mixer
4.9667,Manual,Mixer
5.0000,Manual,Mixer
5.0333,Manual,Mixer
5.0667,Manual,Mixer
5.1000,Manual,Mixer
5.1333,Manual,Mixer
5.1667,Manual,Mixer
5.2000,Manual,Mixer
5.2333,Manual,Mixer
5.2667,Manual,Mixer
5.3000,Manual,Mixer
5.3333,Manual,Mixer
5.3667,Manual,Mixer
5.4000,Manual,Mixer
5.4333,Manual,Mixer
5.4667,Manual,Mixer
5.5000,Manual,Mixer
5.5333,Manual,Mixer
5.5667,Manual,Mixer
5.6000,Manual,Mixer
5.6333,Manual,Mixer
5.6667,Manual,Mixer
5.7000,Manual,Mixer
5.7333,Manual,Mixer
5.7667,Manual,Mixer
5.8000,Manual,Mixer
5.8333,Manual,Mixer
5.8667,Manual,Mixer
5.9000,Manual,Mixer
5.9333,Manual,Mixer
5.9667,Manual,Mixer
6.0000,Manual,Mixer
6.0333,Manual,Mixer
6.0667,Manual,Mixer
6.1000,Manual,Mixer
6.1333,Manual,Mixer
6.1667,Manual,Mixer
6.2000,Manual,Mixer
6.2333,Manual,Mixer
6.2667,Manual,Mixer
6.3000,Manual,Mixer
6.3333,Manual,Mixer
6.3667,Manual,Mixer
6.4000,Manual,Mixer
6.4333,Manual,Mixer
6.4667,Manual,Mixer
6.5000,Manual,Mixer
6.5333,Manual,Mixer
6.5667,Manual,Mixer
6.6000,Manual,Mixer
6.6333,Manual,Mixer
6.6667,Manual,Mixer
6.7000,Manual,Mixer
6.7333,Manual,Mixer
6.7667,Manual,Mixer
6.8000,Manual,Mixer
6.8333,Manual,Mixer
6.8667,Manual,Mixer
6.9000,Manual,Mixer
6.9333,Manual,Mixer
6.9667,Manual,Mixer
7.0000,Manual,Mixer
7.0333,Manual,Mixer
7.0667,Manual,Mixer
7.1000,Manual,Mixer
7.1333,Manual,Mixer
7.1667,Manual,Mixer
7.2000,Manual,Mixer
7.2333,Manual,Mixer
7.2667,Manual,Mixer
7.3000,Manual,Mixer
7.3333,Manual,Mixer
7.3667,Manual,Mixer
7.4000,Manual,Mixer
7.4333,Manual,Mixer
7.4667,Manual,Mixer
7.5000,Manual,Mixer
7.5333,Manual,Mixer
7.5667,Manual,Mixer
7.6000,Manual,Mixer
7.6333,Manual,Mixer
7.6667,Manual,Mixer
7.7000,Manual,Mixer
7.7333,Manual,Mixer
7.7667,Manual,Mixer
7.8000,Manual,Mixer
7.8333,Manual,Mixer
7.8667,Manual,Mixer
7.9000,Manual,Mixer
7.9333,Manual,Mixer
7.9667,Manual,Mixer
8.0000,Manual,Mixer
8.0333,Manual,Mixer
8.0667,Manual,Mixer
8.1000,Manual,Mixer
8.1333,Manual,Mixer
8.1667,Manual,Mixer
8.2000,Manual,Mixer
8.2333,Manual,Mixer
8.2667,Manual,Mixer
8.3000,Manual,Mixer
8.3333,Manual,Mixer
8.3667,Manual,Mixer
8.4000,Manual,Mixer
8.4333,Manual,Mixer
8.4667,Manual,Mixer
8.5000,Manual,Mixer
8.5333,Manual,Mixer
8.5667,Manual,Mixer
8.6000,Manual,Mixer
8.6333,Manual,Mixer
8.6667,Manual,Mixer
8.7000,Manual,Mixer
8.7333,Manual,Mixer
8.7667,Manual,Mixer
8.8000,Manual,Mixer
8.8333,Manual,Mixer
8.8667,Manual,Mixer
8.9000,Manual,Mixer
8.9333,Manual,Mixer
8.9667,Manual,Mixer
9.0000,Manual,Mixer
9.0333,Manual,Mixer
9.0667,Manual,Mixer
9.1000,Manual,Mixer
9.1333,Manual,Mixer
9.1667,Manual,Mixer
9.2000,Manual,Mixer
9.2333,Manual,Mixer
9.2667,Manual,Mixer
9.3000,Manual,Mixer
9.3333,Manual,Mixer
9.3667,Manual,Mixer
9.4000,Manual,Mixer
9.4333,Manual,Mixer
9.4667,Manual,Mixer
9.5000,Manual,Mixer
9.5333,Manual,Mixer
9.5667,Manual,Mixer
9.6000,Manual,Mixer
9.6333,Manual,Mixer
9.6667,Manual,Mixer
9.7000,Manual,Mixer
9.7333,Manual,Mixer
9.7667,Manual,Mixer
9.8000,Manual,Mixer
9.8333,Manual,Mixer
9.8667,Manual,Mixer
9.9000,Manual,Mixer
9.9333,Manual,Mixer
9.9667,Manual,Mixer
10.0000,Manual,Mixer
10.0333,Manual,Mixer
10.0667,Manual,Mixer
10.1000,Manual,Mixer
10.1333,Manual,Mixer
10.1667,Manual,Mixer
10.2000,Manual,Mixer
10.2333,Manual,Mixer
10.2667,Manual,Mixer
10.3000,Manual,Mixer
10.3333,Manual,Mixer
10.3667,Manual,Mixer
10.4000,Manual,Mixer
10.4333,Manual,Mixer
10.4667,Manual,Mixer
10.5000,Manual,Mixer
10.5333,Manual,Mixer
10.5667,Manual,Mixer
10.6000,Manual,Mixer
10.6333,Manual,Mixer
10.6667,Manual,Mixer
10.7000,Manual,Mixer
10.7333,Manual,Mixer
10.7667,Manual,Mixer
10.8000,Manual,Mixer
10.8333,Manual,Mixer
10.8667,Manual,Mixer
10.9000,Manual,Mixer
10.9333,Manual,Mixer
10.9667,Manual,Mixer
11.0000,Manual,Mixer
11.0333,Manual,Mixer
11.0667,Manual,Mixer
11.1000,Manual,Mixer
11.1333,Manual,Mixer
11.1667,Manual,Mixer
11.2000,Manual,Mixer
11.2333,Manual,Mixer
11.2667,Manual,Mixer
11.3000,Manual,Mixer
11.3333,Manual,Mixer
11.3667,Manual,Mixer
11.4000,Manual,Mixer
11.4333,Manual,Mixer
11.4667,Manual,Mixer
11.5000,Manual,Mixer
11.5333,Manual,Mixer
11.5667,Manual,Mixer
11.6000,Manual,Mixer
11.6333,Manual,Mixer
11.6667,Manual,Mixer
11.7000,Manual,Mixer
11.7333,Manual,Mixer
11.7667,Manual,Mixer
11.8000,Manual,Mixer
11.8333,Manual,Mixer
11.8667,Manual,Mixer
11.9000,Manual,Mixer
11.9333,Manual,Mixer
11.9667,Manual,Mixer
12.0000,Manual,Mixer
12.0333,Manual,Mixer
12.0667,Manual,Mixer
12.1000,Manual,Mixer
12.1333,Manual,Mixer
12.1667,Manual,Mixer
12.2000,Manual,Mixer
15.0667,Manual,Mixer
15.4333,Manual,Mixer
15.4667,Manual,Mixer
15.5000,Manual,Mixer
15.5333,Manual,Mixer
15.5667,Manual,Mixer
15.6000,Manual,Mixer
15.6333,Manual,Mixer
15.6667,Manual,Mixer
15.7000,Manual,Mixer
15.7333,Manual,Mixer
15.7667,Manual,Mixer
15.8000,Manual,Mixer
15.8333,Manual,Mixer
15.8667,Manual,Mixer
15.9000,Manual,Mixer
15.9333,Manual,Mixer
15.9667,Manual,Mixer
16.0000,Manual,Mixer
16.0333,Manual,Mixer
16.0667,Manual,Mixer
16.1000,Manual,Mixer
16.1333,Manual,Mixer
16.1667,Manual,Mixer
16.2000,Manual,Mixer
16.2333,Manual,Mixer
16.2667,Manual,Mixer
16.3000,Manual,Mixer
16.3333,Manual,Mixer
16.3667,Manual,Mixer
16.4000,Manual,Mixer
16.4333,Manual,Mixer
16.4667,Manual,Mixer
16.5000,Manual,Mixer
16.5333,Manual,Mixer
16.5667,Manual,Mixer
16.6000,Manual,Mixer
16.6333,Manual,Mixer
16.6667,Manual,Mixer
16.7000,Manual,Mixer
16.7333,Manual,Mixer
16.7667,Manual,Mixer
16.8000,Manual,Mixer
16.8333,Manual,Mixer
16.8667,Manual,Mixer
16.9000,Manual,Mixer
16.9333,Manual,Mixer
16.9667,Manual,Mixer
17.0000,Manual,Mixer
17.0333,Manual,Mixer
17.0667,Manual,Mixer
17.1000,Manual,Mixer
17.1333,Manual,Mixer
17.1667,Manual,Mixer
17.2000,Manual,Mixer
17.2333,Manual,Mixer
17.2667,Manual,Mixer
17.3000,Manual,Mixer
17.3333,Manual,Mixer
17.3667,Manual,Mixer
17.4000,Manual,Mixer
17.4333,Manual,Mixer
17.4667,Manual,Mixer
17.5000,Manual,Mixer
17.5333,Manual,Mixer
17.5667,Manual,Mixer
17.6000,Manual,Mixer
17.6333,Manual,Mixer
17.6667,Manual,Mixer
17.7000,Manual,Mixer
17.7333,Manual,Mixer
17.7667,Manual,Mixer
17.8000,Manual,Mixer
17.8333,Manual,Mixer
17.8667,Manual,Mixer
17.9000,Manual,Mixer
17.9333,Manual,Mixer
17.9667,Manual,Mixer
18.0000,Manual,Mixer
18.0333,Manual,Mixer
18.0667,Manual,Mixer
18.1000,Manual,Mixer
18.1333,Manual,Mixer
18.1667,Manual,Mixer
18.2000,Manual,Mixer
18.2333,Manual,Mixer
18.2667,Manual,Mixer
18.3000,Manual,Mixer
18.3333,Manual,Mixer
18.3667,Manual,Mixer
18.4000,Manual,Mixer
18.4333,Manual,Mixer
18.4667,Manual,Mixer
18.5000,Manual,Mixer
18.5333,Manual,Mixer
18.5667,Manual,Mixer
18.6000,Manual,Mixer
18.6333,Manual,Mixer
18.6667,Manual,Mixer
18.7000,Manual,Mixer
18.7333,Manual,Mixer
18.7667,Manual,Mixer
18.8000,Manual,Mixer
18.8333,Manual,Mixer
18.8667,Manual,Mixer
18.9000,Manual,Mixer
18.9333,Manual,Mixer
18.9667,Manual,Mixer
19.0000,Manual,Mixer
19.0333,Manual,Mixer
19.0667,Manual,Mixer
19.1000,Manual,Mixer
19.1333,Manual,Mixer
19.1667,Manual,Mixer
19.2000,Manual,Mixer
19.2333,Manual,Mixer
19.2667,Manual,Mixer
19.3000,Manual,Mixer
19.3333,Manual,Mixer
19.3667,Manual,Mixer
19.4000,Manual,Mixer
19.4333,Manual,Mixer
19.4667,Manual,Mixer
19.5000,Manual,Mixer
19.5333,Manual,Mixer
19.5667,Manual,Mixer
19.6000,Manual,Mixer
19.6333,Manual,Mixer
19.6667,Manual,Mixer
19.7000,Manual,Mixer
19.7333,Manual,Mixer
19.7667,Manual,Mixer
19.8000,Manual,Mixer
19.8333,Manual,Mixer
19.8667,Manual,Mixer
19.9000,Manual,Mixer
19.9333,Manual,Mixer
19.9667,Manual,Mixer
20.0000,Manual,Mixer
20.0333,Manual,Mixer
20.0667,Manual,Mixer
20.1000,Manual,Mixer
20.1333,Manual,Mixer
20.1667,Manual,Mixer
20.2000,Manual,Mixer
20.2333,Manual,Mixer
20.2667,Manual,Mixer
20.3000,Manual,Mixer
22.7333,Manual,Mixer
23.1000,Manual,Mixer
23.1333,Manual,Mixer
23.1667,Manual,Mixer
23.2000,Manual,Mixer
23.2333,Manual,Mixer
23.2667,Manual,Mixer
23.3000,Manual,Mixer
23.3333,Manual,Mixer
23.3667,Manual,Mixer
23.4000,Manual,Mixer
23.4333,Manual,Mixer
23.4667,Manual,Mixer
23.5000,Manual,Mixer
23.5333,Manual,Mixer
23.5667,Manual,Mixer
23.6000,Manual,Mixer
23.6333,Manual,Mixer
23.6667,Manual,Mixer
23.7000,Manual,Mixer
23.7333,Manual,Mixer
23.7667,Manual,Mixer
23.8000,Manual,Mixer
26.2667,Manual,Mixer
26.6333,Manual,Mixer
26.6667,Manual,Mixer
26.7000,Manual,Mixer
26.7333,Manual,Mixer
26.7667,Manual,Mixer
26.8000,Manual,Mixer
26.8333,Manual,Mixer
26.8667,Manual,Mixer
26.9000,Manual,Mixer
26.9333,Manual,Mixer
26.9667,Manual,Mixer
27.0000,Manual,Mixer
27.0333,Manual,Mixer
27.0667,Manual,Mixer
27.1000,Manual,Mixer
27.1333,Manual,Mixer
27.1667,Manual,Mixer
27.2000,Manual,Mixer
27.2333,Manual,Mixer
27.2667,Manual,Mixer
27.3000,Manual,Mixer
27.3333,Manual,Mixer
27.3667,Manual,Mixer
27.4000,Manual,Mixer
27.4333,Manual,Mixer
27.4667,Manual,Mixer
27.5000,Manual,Mixer
27.5333,Manual,Mixer
27.5667,Manual,Mixer
27.6000,Manual,Mixer
27.6333,Manual,Mixer
27.6667,Manual,Mixer
27.7000,Manual,Mixer
27.7333,Manual,Mixer
27.7667,Manual,Mixer
27.8000,Manual,Mixer
27.8333,Manual,Mixer
27.8667,Manual,Mixer
27.9000,Manual,Mixer
27.9333,Manual,Mixer
27.9667,Manual,Mixer
28.0000,Manual,Mixer
28.0333,Manual,Mixer
28.0667,Manual,Mixer
28.1000,Manual,Mixer
28.1333,Manual,Mixer
28.1667,Manual,Mixer
28.2000,Manual,Mixer
28.2333,Manual,Mixer
28.2667,Manual,Mixer
28.3000,Manual,Mixer
28.3333,Manual,Mixer
28.3667,Manual,Mixer
28.4000,Manual,Mixer
28.4333,Manual,Mixer
28.4667,Manual,Mixer
28.5000,Manual,Mixer
28.5333,Manual,Mixer
28.5667,Manual,Mixer
28.6000,Manual,Mixer
28.6333,Manual,Mixer
28.6667,Manual,Mixer
28.7000,Manual,Mixer
28.7333,Manual,Mixer
28.7667,Manual,Mixer
28.8000,Manual,Mixer
28.8333,Manual,Mixer
28.8667,Manual,Mixer
28.9000,Manual,Mixer
28.9333,Manual,Mixer
28.9667,Manual,Mixer
29.0000,Manual,Mixer
29.0333,Manual,Mixer
29.0667,Manual,Mixer
29.1000,Manual,Mixer
29.1333,Manual,Mixer
29.1667,Manual,Mixer
29.2000,Manual,Mixer
29.2333,Manual,Mixer
29.2667,Manual,Mixer
29.3000,Manual,Mixer
29.3333,Manual,Mixer
29.3667,Manual,Mixer
29.4000,Manual,Mixer
29.4333,Manual,Mixer
29.4667,Manual,Mixer
29.5000,Manual,Mixer
29.5333,Manual,Mixer
29.5667,Manual,Mixer
29.6000,Manual,Mixer
29.6333,Manual,Mixer
29.6667,Manual,Mixer
29.7000,Manual,Mixer
29.7333,Manual,Mixer
29.7667,Manual,Mixer
29.8000,Manual,Mixer
29.8333,Manual,Mixer
29.8667,Manual,Mixer
29.9000,Manual,Mixer
29.9333,Manual,Mixer
29.9667,Manual,Mixer
30.0000,Manual,Mixer
30.0333,Manual,Mixer
30.0667,Manual,Mixer
30.1000,Manual,Mixer
30.1333,Manual,Mixer
30.1667,Manual,Mixer
30.2000,Manual,Mixer
30.2333,Manual,Mixer
30.2667,Manual,Mixer
30.3000,Manual,Mixer
30.3333,Manual,Mixer
30.3667,Manual,Mixer
30.4000,Manual,Mixer
30.4333,Manual,Mixer
30.4667,Manual,Mixer
30.5000,Manual,Mixer
30.5333,Manual,Mixer
30.5667,Manual,Mixer
30.6000,Manual,Mixer
30.6333,Manual,Mixer
30.6667,Manual,Mixer
30.7000,Manual,Mixer
30.7333,Manual,Mixer
