Timestamp_Video_s,Anotador,Classe
2.5359,Manual,Smartwatch
2.5692,Manual,Smartwatch
2.6026,Manual,Smartwatch
2.6360,Manual,Smartwatch
2.6693,Manual,Smartwatch
2.7027,Manual,Smartwatch
2.7361,Manual,Smartwatch
2.7694,Manual,Smartwatch
2.8028,Manual,Smartwatch
2.8362,Manual,Smartwatch
2.8695,Manual,Smartwatch
2.9029,Manual,Smartwatch
2.9363,Manual,Smartwatch
2.9696,Manual,Smartwatch
3.0030,Manual,Smartwatch
3.0364,Manual,Smartwatch
3.0697,Manual,Smartwatch
3.1031,Manual,Smartwatch
3.1365,Manual,Smartwatch
3.1698,Manual,Smartwatch
3.2032,Manual,Smartwatch
3.2366,Manual,Smartwatch
3.2699,Manual,Smartwatch
3.3033,Manual,Smartwatch
3.3367,Manual,Smartwatch
3.3700,Manual,Smartwatch
3.4034,Manual,Smartwatch
3.4368,Manual,Smartwatch
3.4701,Manual,Smartwatch
3.5035,Manual,Smartwatch
3.5369,Manual,Smartwatch
3.5702,Manual,Smartwatch
3.6036,Manual,Smartwatch
3.6370,Manual,Smartwatch
3.6703,Manual,Smartwatch
3.7037,Manual,Smartwatch
3.7371,Manual,Smartwatch
3.7704,Manual,Smartwatch
3.8038,Manual,Smartwatch
3.8372,Manual,Smartwatch
3.8705,Manual,Smartwatch
3.9039,Manual,Smartwatch
3.9373,Manual,Smartwatch
3.9706,Manual,Smartwatch
4.0040,Manual,Smartwatch
4.0374,Manual,Smartwatch
4.0707,Manual,Smartwatch
4.1041,Manual,Smartwatch
4.1375,Manual,Smartwatch
4.1708,Manual,Smartwatch
6.9403,Manual,Smartwatch
7.3073,Manual,Smartwatch
14.5479,Manual,Smartwatch
14.9483,Manual,Smartwatch
14.9816,Manual,Smartwatch
15.0150,Manual,Smartwatch
15.0484,Manual,Smartwatch
15.0817,Manual,Smartwatch
15.1151,Manual,Smartwatch
15.1485,Manual,Smartwatch
15.1818,Manual,Smartwatch
15.2152,Manual,Smartwatch
15.2486,Manual,Smartwatch
15.2819,Manual,Smartwatch
15.3153,Manual,Smartwatch
15.3487,Manual,Smartwatch
15.3820,Manual,Smartwatch
15.4154,Manual,Smartwatch
15.4488,Manual,Smartwatch
15.4821,Manual,Smartwatch
15.5155,Manual,Smartwatch
15.5489,Manual,Smartwatch
15.5822,Manual,Smartwatch
15.6156,Manual,Smartwatch
15.6490,Manual,Smartwatch
15.6823,Manual,Smartwatch
15.7157,Manual,Smartwatch
15.7491,Manual,Smartwatch
15.7824,Manual,Smartwatch
15.8158,Manual,Smartwatch
15.8492,Manual,Smartwatch
15.8825,Manual,Smartwatch
15.9159,Manual,Smartwatch
15.9493,Manual,Smartwatch
15.9826,Manual,Smartwatch
16.0160,Manual,Smartwatch
16.0494,Manual,Smartwatch
16.0827,Manual,Smartwatch
16.1161,Manual,Smartwatch
16.1495,Manual,Smartwatch
16.1828,Manual,Smartwatch
16.2162,Manual,Smartwatch
16.2496,Manual,Smartwatch
16.2829,Manual,Smartwatch
16.3163,Manual,Smartwatch
16.3497,Manual,Smartwatch
16.3830,Manual,Smartwatch
16.4164,Manual,Smartwatch
16.4498,Manual,Smartwatch
16.4831,Manual,Smartwatch
16.5165,Manual,Smartwatch
16.5499,Manual,Smartwatch
16.5832,Manual,Smartwatch
16.6166,Manual,Smartwatch
16.6500,Manual,Smartwatch
16.6833,Manual,Smartwatch
16.7167,Manual,Smartwatch
16.7501,Manual,Smartwatch
16.7834,Manual,Smartwatch
16.8168,Manual,Smartwatch
16.8502,Manual,Smartwatch
16.8835,Manual,Smartwatch
16.9169,Manual,Smartwatch
16.9503,Manual,Smartwatch
16.9836,Manual,Smartwatch
17.0170,Manual,Smartwatch
17.0504,Manual,Smartwatch
17.0837,Manual,Smartwatch
17.1171,Manual,Smartwatch
17.1505,Manual,Smartwatch
17.1838,Manual,Smartwatch
17.2172,Manual,Smartwatch
17.2506,Manual,Smartwatch
17.2839,Manual,Smartwatch
17.3173,Manual,Smartwatch
17.3507,Manual,Smartwatch
17.3840,Manual,Smartwatch
17.4174,Manual,Smartwatch
17.4508,Manual,Smartwatch
17.4841,Manual,Smartwatch
17.5175,Manual,Smartwatch
17.5509,Manual,Smartwatch
17.5842,Manual,Smartwatch
17.6176,Manual,Smartwatch
17.6510,Manual,Smartwatch
17.6843,Manual,Smartwatch
17.7177,Manual,Smartwatch
17.7511,Manual,Smartwatch
17.7844,Manual,Smartwatch
17.8178,Manual,Smartwatch
17.8512,Manual,Smartwatch
17.8845,Manual,Smartwatch
17.9179,Manual,Smartwatch
