Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Smartwatch,0.6416
0.0334,Especialista,Smartwatch,0.7545
0.0667,Especialista,Smartwatch,0.7637
0.1001,Especialista,Smartwatch,0.5176
0.1335,Especialista,Smartwatch,0.5705
0.1668,Especialista,Grain_grinder,0.8125
0.2002,Especialista,Grain_grinder,0.6076
0.2336,Especialista,Grain_grinder,0.5726
0.2669,Especialista,Grain_grinder,0.5980
0.3337,Especialista,Smartwatch,0.8369
0.3670,Especialista,Smartwatch,0.9935
0.4004,Especialista,Smartwatch,0.9937
0.4338,Especialista,Smartwatch,0.9906
0.4671,Especialista,Smartwatch,0.9526
0.5005,Especialista,Smartwatch,0.8536
0.5339,Especialista,Smartwatch,0.7322
0.5672,Especialista,Smartwatch,0.7369
0.6006,Especialista,Smartwatch,0.7674
0.6340,Especialista,Grain_grinder,0.6907
0.6673,Especialista,Grain_grinder,0.7771
0.7007,Especialista,Grain_grinder,0.9047
0.7341,Especialista,Grain_grinder,0.8902
0.7674,Especialista,Grain_grinder,0.7618
0.8008,Especialista,Grain_grinder,0.6486
0.8342,Especialista,Grain_grinder,0.7014
0.8675,Especialista,Grain_grinder,0.8581
0.9009,Especialista,Grain_grinder,0.8406
0.9343,Especialista,Grain_grinder,0.9037
0.9676,Especialista,Grain_grinder,0.9879
1.0010,Especialista,Grain_grinder,0.9596
1.0344,Especialista,Grain_grinder,0.8800
1.0677,Especialista,Grain_grinder,0.8670
1.1011,Especialista,Grain_grinder,0.5796
1.1345,Especialista,Grain_grinder,0.8603
1.1678,Especialista,Smartwatch,0.5513
1.2012,Especialista,Smartwatch,0.8144
1.2346,Especialista,Smartwatch,0.8360
1.2679,Especialista,Grain_grinder,0.6004
1.3013,Especialista,Grain_grinder,0.6260
1.3347,Especialista,Grain_grinder,0.5521
1.3680,Especialista,Smartwatch,0.6105
1.3680,Geral,Blender,0.6241
1.4014,Especialista,Grain_grinder,0.5292
1.4014,Geral,Blender,0.6070
1.4348,Especialista,Smartwatch,0.6428
1.4348,Geral,Blender,0.6282
1.4681,Especialista,Smartwatch,0.7930
1.4681,Geral,Blender,0.6373
1.5015,Especialista,Smartwatch,0.8396
1.5015,Geral,Blender,0.7142
1.5349,Especialista,Smartwatch,0.7813
1.5349,Geral,Blender,0.7625
1.5682,Especialista,Smartwatch,0.7759
1.5682,Geral,Blender,0.7588
1.6016,Especialista,Smartwatch,0.8402
1.6016,Geral,Blender,0.7545
1.6350,Especialista,Smartwatch,0.6851
1.6350,Geral,Blender,0.8403
1.6683,Especialista,Smartwatch,0.6833
1.6683,Geral,Blender,0.8317
1.7017,Especialista,Smartwatch,0.5923
1.7017,Geral,Blender,0.8323
1.7351,Especialista,Smartwatch,0.5556
1.7351,Geral,Blender,0.8368
1.7684,Especialista,Grain_grinder,0.5995
1.7684,Geral,Blender,0.7672
1.8018,Especialista,Grain_grinder,0.6202
1.8018,Geral,Blender,0.7100
1.8352,Especialista,Smartwatch,0.5275
1.8352,Geral,Blender,0.6148
1.8685,Especialista,Smartwatch,0.5972
1.8685,Geral,Blender,0.6597
1.9019,Especialista,Smartwatch,0.5969
1.9019,Geral,Blender,0.6734
1.9353,Especialista,Grain_grinder,0.6767
1.9353,Geral,Blender,0.6971
1.9686,Especialista,Grain_grinder,0.6852
2.0020,Especialista,Grain_grinder,0.7447
2.0020,Geral,Blender,0.6573
2.0354,Especialista,Smartwatch,0.6180
2.0354,Geral,Blender,0.5354
2.0687,Especialista,Smartwatch,0.6174
2.0687,Geral,Blender,0.5395
2.1021,Especialista,Smartwatch,0.8585
2.1355,Especialista,Grain_grinder,0.6519
2.1688,Especialista,Smartwatch,0.6926
2.2022,Especialista,Smartwatch,0.9585
2.2356,Especialista,Smartwatch,0.9517
2.2689,Especialista,Smartwatch,0.9218
2.3023,Especialista,Smartwatch,0.9376
2.3357,Especialista,Smartwatch,0.9825
2.3690,Especialista,Smartwatch,0.6847
2.4024,Especialista,Smartwatch,0.5617
2.4691,Especialista,Grain_grinder,0.8504
2.5025,Especialista,Grain_grinder,0.7663
2.5359,Especialista,Grain_grinder,0.6825
2.5692,Especialista,Grain_grinder,0.6490
2.6026,Especialista,Grain_grinder,0.7679
2.6360,Especialista,Grain_grinder,0.8414
2.6693,Especialista,Grain_grinder,0.8293
2.7027,Especialista,Grain_grinder,0.6657
2.7361,Especialista,Grain_grinder,0.6718
2.7694,Especialista,Grain_grinder,0.6667
2.8028,Especialista,Grain_grinder,0.6065
2.8362,Especialista,Grain_grinder,0.6645
2.8695,Especialista,Grain_grinder,0.5793
2.9029,Especialista,Grain_grinder,0.5796
2.9363,Especialista,Grain_grinder,0.6969
2.9696,Especialista,Grain_grinder,0.6316
3.0030,Especialista,Grain_grinder,0.8041
3.0364,Especialista,Grain_grinder,0.9288
3.0697,Especialista,Grain_grinder,0.9116
3.1031,Especialista,Grain_grinder,0.9395
3.1365,Especialista,Grain_grinder,0.9939
3.1698,Especialista,Grain_grinder,0.9889
3.2032,Especialista,Grain_grinder,0.9637
3.2366,Especialista,Grain_grinder,0.9660
3.2699,Especialista,Grain_grinder,0.9816
3.3033,Especialista,Grain_grinder,0.9911
3.3367,Especialista,Grain_grinder,0.9689
3.3700,Especialista,Grain_grinder,0.9097
3.4034,Especialista,Grain_grinder,0.9169
3.4368,Especialista,Grain_grinder,0.5221
3.4701,Especialista,Grain_grinder,0.5334
3.5035,Especialista,Grain_grinder,0.5170
3.5369,Especialista,Grain_grinder,0.6762
3.5702,Especialista,Grain_grinder,0.6688
3.6036,Especialista,Grain_grinder,0.9007
3.6370,Especialista,Grain_grinder,0.8841
3.6703,Especialista,Grain_grinder,0.9578
3.7037,Especialista,Grain_grinder,0.9633
3.7371,Especialista,Grain_grinder,0.9574
3.7704,Especialista,Grain_grinder,0.9754
3.8038,Especialista,Grain_grinder,0.9961
3.8372,Especialista,Grain_grinder,0.9877
