Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Mixer,0.9946
0.0333,Especialista,Mixer,0.9944
0.0667,Especialista,Mixer,0.9952
0.1000,Especialista,Mixer,0.9972
0.1333,Especialista,Mixer,0.9963
0.1667,Especialista,Mixer,0.9986
0.1667,Geral,smartwatch,0.5781
0.2000,Especialista,Mixer,0.9977
0.2000,Geral,smartwatch,0.5283
0.2333,Especialista,Mixer,0.9974
0.2333,Geral,smartwatch,0.5378
0.2667,Especialista,Mixer,0.9945
0.2667,Geral,smartwatch,0.5159
0.3000,Especialista,Mixer,0.9879
0.3333,Especialista,Mixer,0.9792
0.3667,Especialista,Mixer,0.9686
0.4000,Especialista,Mixer,0.9753
0.4333,Especialista,Mixer,0.9756
0.4667,Especialista,Mixer,0.9487
0.5000,Especialista,Mixer,0.9754
0.5000,Geral,smartwatch,0.5344
0.5333,Especialista,Mixer,0.9723
0.5667,Especialista,Mixer,0.9618
0.6000,Especialista,Mixer,0.9910
0.6333,Especialista,Mixer,0.9915
0.6667,Especialista,Mixer,0.9955
0.7000,Especialista,Mixer,0.9912
0.7333,Especialista,Mixer,0.9437
0.7667,Especialista,Mixer,0.9541
0.8000,Especialista,Mixer,0.9108
0.8333,Especialista,Mixer,0.8735
0.8667,Especialista,Mixer,0.9906
0.9000,Especialista,Mixer,0.9843
0.9000,Geral,smartwatch,0.5311
0.9333,Especialista,Mixer,0.9965
0.9333,Geral,smartwatch,0.6166
0.9667,Especialista,Mixer,0.9793
0.9667,Geral,smartwatch,0.6421
1.0000,Especialista,Mixer,0.9830
1.0333,Especialista,Mixer,0.6873
1.0667,Especialista,Smartwatch,0.5772
1.1000,Especialista,Smartwatch,0.9880
1.1333,Especialista,Smartwatch,0.9750
1.1333,Geral,smartwatch,0.6529
1.1667,Especialista,Smartwatch,0.9963
1.1667,Geral,smartwatch,0.6332
1.2000,Especialista,Smartwatch,0.9593
1.2000,Geral,smartwatch,0.6587
1.2333,Especialista,Smartwatch,0.9623
1.2333,Geral,smartwatch,0.7120
1.2667,Especialista,Smartwatch,0.5690
1.2667,Geral,smartwatch,0.6436
1.3000,Especialista,Smartwatch,0.6030
1.3000,Geral,smartwatch,0.5677
1.3333,Especialista,Smartwatch,0.6967
1.3333,Geral,smartwatch,0.7555
1.3667,Especialista,Smartwatch,0.8355
1.3667,Geral,smartwatch,0.6152
1.4000,Especialista,Smartwatch,0.7223
1.4000,Geral,smartwatch,0.6183
1.4333,Especialista,Smartwatch,0.8187
1.4333,Geral,smartwatch,0.5627
1.4667,Especialista,Smartwatch,0.6472
1.4667,Geral,smartwatch,0.5337
1.5000,Especialista,Smartwatch,0.7546
1.5000,Geral,smartwatch,0.6900
1.5333,Especialista,Smartwatch,0.9109
1.5333,Geral,smartwatch,0.7434
1.5667,Especialista,Smartwatch,0.9203
1.5667,Geral,smartwatch,0.7629
1.6000,Especialista,Smartwatch,0.9322
1.6000,Geral,smartwatch,0.7884
1.6333,Especialista,Smartwatch,0.9080
1.6333,Geral,smartwatch,0.7360
1.6667,Especialista,Smartwatch,0.6446
1.6667,Geral,smartwatch,0.6912
1.7000,Especialista,Grain_grinder,0.5010
1.7333,Especialista,Grain_grinder,0.9485
1.7667,Especialista,Grain_grinder,0.8169
1.8000,Especialista,Grain_grinder,0.8952
1.8333,Especialista,Grain_grinder,0.8369
1.8667,Especialista,Grain_grinder,0.6526
1.9000,Especialista,Grain_grinder,0.8999
1.9333,Especialista,Grain_grinder,0.7642
1.9667,Especialista,Grain_grinder,0.5793
2.0000,Especialista,Grain_grinder,0.8402
2.0333,Especialista,Grain_grinder,0.9973
2.0667,Especialista,Grain_grinder,0.9921
2.0667,Geral,smartwatch,0.6137
2.1000,Especialista,Grain_grinder,0.9939
2.1000,Geral,smartwatch,0.5517
2.1333,Especialista,Grain_grinder,0.9903
2.1667,Especialista,Grain_grinder,0.9825
2.1667,Geral,smartwatch,0.5840
2.2000,Especialista,Grain_grinder,0.9887
2.2000,Geral,smartwatch,0.6373
2.2333,Especialista,Grain_grinder,0.9883
2.2333,Geral,smartwatch,0.6397
2.2667,Especialista,Grain_grinder,0.9906
2.3000,Especialista,Grain_grinder,0.9861
2.3333,Especialista,Grain_grinder,0.9849
2.3667,Especialista,Grain_grinder,0.9941
2.4000,Especialista,Grain_grinder,0.9862
2.4333,Especialista,Grain_grinder,0.9850
2.4667,Especialista,Grain_grinder,0.9953
2.5000,Especialista,Grain_grinder,0.9963
2.5333,Especialista,Grain_grinder,0.9976
2.5667,Especialista,Grain_grinder,0.9986
2.6000,Especialista,Grain_grinder,0.9997
2.6333,Especialista,Grain_grinder,0.9997
2.6667,Especialista,Grain_grinder,0.9994
2.7000,Especialista,Grain_grinder,0.9995
2.7333,Especialista,Grain_grinder,0.9998
2.7667,Especialista,Grain_grinder,0.9991
2.8000,Especialista,Grain_grinder,0.9992
2.8333,Especialista,Grain_grinder,0.9992
2.8667,Especialista,Grain_grinder,0.9976
2.9000,Especialista,Grain_grinder,0.9981
2.9333,Especialista,Grain_grinder,0.9980
2.9667,Especialista,Grain_grinder,0.9993
3.0000,Especialista,Grain_grinder,0.9996
3.0333,Especialista,Grain_grinder,0.9995
3.0667,Especialista,Grain_grinder,0.9996
3.1000,Especialista,Grain_grinder,0.9995
3.1333,Especialista,Grain_grinder,0.9996
3.1667,Especialista,Grain_grinder,0.9996
3.2000,Especialista,Grain_grinder,0.9962
3.2333,Especialista,Grain_grinder,0.9961
3.2667,Especialista,Grain_grinder,0.9805
3.3000,Especialista,Grain_grinder,0.9799
3.3333,Especialista,Grain_grinder,0.9768
3.3667,Especialista,Grain_grinder,0.9748
3.3667,Geral,smartwatch,0.5693
3.4000,Especialista,Grain_grinder,0.9816
3.4000,Geral,smartwatch,0.5582
3.4333,Especialista,Grain_grinder,0.9855
3.4333,Geral,smartwatch,0.5867
3.4667,Especialista,Grain_grinder,0.9812
3.4667,Geral,smartwatch,0.6102
3.5000,Especialista,Grain_grinder,0.9866
3.5000,Geral,smartwatch,0.5410
3.5333,Especialista,Grain_grinder,0.9916
3.5333,Geral,smartwatch,0.5836
