Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Mixer,0.9983
0.0000,Geral,Blender,0.6661
0.0333,Especialista,Mixer,0.9989
0.0333,Geral,Blender,0.7032
0.0667,Especialista,Mixer,0.9972
0.0667,Geral,Blender,0.7312
0.1000,Especialista,Mixer,0.9969
0.1000,Geral,Blender,0.6656
0.1333,Especialista,Mixer,0.9987
0.1333,Geral,Blender,0.6156
0.1667,Especialista,Mixer,0.9978
0.1667,Geral,Blender,0.6191
0.2000,Especialista,Mixer,0.9957
0.2333,Especialista,Mixer,0.9965
0.2333,Geral,Blender,0.5378
0.2667,Especialista,Mixer,0.9981
0.2667,Geral,Blender,0.6995
0.3000,Especialista,Mixer,0.9960
0.3000,Geral,Blender,0.7533
0.3333,Especialista,Mixer,0.9985
0.3333,Geral,Blender,0.7854
0.3667,Especialista,Mixer,0.9962
0.3667,Geral,Blender,0.7909
0.4000,Especialista,Mixer,0.9984
0.4000,Geral,Blender,0.7309
0.4333,Especialista,Mixer,0.9965
0.4333,Geral,Blender,0.6883
0.4667,Especialista,Mixer,0.9943
0.5000,Especialista,Mixer,0.9975
0.5333,Especialista,Mixer,0.9981
0.5667,Especialista,Mixer,0.9983
0.6000,Especialista,Mixer,0.9987
0.6000,Geral,Blender,0.6347
0.6333,Especialista,Mixer,0.9970
0.6333,Geral,Blender,0.5256
0.6667,Especialista,Mixer,0.9998
0.6667,Geral,Blender,0.6455
0.7000,Especialista,Mixer,0.9999
0.7000,Geral,Blender,0.7373
0.7333,Especialista,Mixer,0.9999
0.7333,Geral,Blender,0.6080
0.7667,Especialista,Mixer,0.9998
0.7667,Geral,Blender,0.6975
0.8000,Especialista,Mixer,0.9995
0.8000,Geral,Blender,0.5888
0.8333,Especialista,Mixer,0.9995
0.8333,Geral,Blender,0.5789
0.8667,Especialista,Mixer,0.9997
0.8667,Geral,Blender,0.5039
0.9000,Especialista,Mixer,0.9998
0.9000,Geral,Blender,0.6682
0.9333,Especialista,Mixer,0.9998
0.9333,Geral,Blender,0.7380
0.9667,Especialista,Mixer,0.9998
0.9667,Geral,Blender,0.7346
1.0000,Especialista,Mixer,0.9994
1.0000,Geral,Blender,0.7314
1.0333,Especialista,Mixer,0.9999
1.0333,Geral,Blender,0.6162
1.0667,Especialista,Mixer,0.9998
1.0667,Geral,Blender,0.7269
1.1000,Especialista,Mixer,0.9999
1.1000,Geral,Blender,0.7395
1.1333,Especialista,Mixer,1.0000
1.1333,Geral,Blender,0.6786
1.1667,Especialista,Mixer,1.0000
1.1667,Geral,Blender,0.7064
1.2000,Especialista,Mixer,0.9999
1.2000,Geral,Blender,0.6820
1.2333,Especialista,Mixer,0.9999
1.2667,Especialista,Mixer,1.0000
1.3000,Especialista,Mixer,1.0000
1.3333,Especialista,Mixer,0.9999
1.3667,Especialista,Mixer,1.0000
1.4000,Especialista,Mixer,1.0000
1.4333,Especialista,Mixer,1.0000
1.4667,Especialista,Mixer,1.0000
1.5000,Especialista,Mixer,0.9999
1.5333,Especialista,Mixer,0.9995
1.5667,Especialista,Mixer,0.9997
1.6000,Especialista,Mixer,0.9989
1.6333,Especialista,Mixer,0.9995
1.6667,Especialista,Mixer,0.9998
1.7000,Especialista,Mixer,0.9999
1.7333,Especialista,Mixer,1.0000
1.7667,Especialista,Mixer,0.9999
1.8000,Especialista,Mixer,1.0000
1.8333,Especialista,Mixer,1.0000
1.8667,Especialista,Mixer,1.0000
1.9000,Especialista,Mixer,1.0000
1.9333,Especialista,Mixer,1.0000
1.9667,Especialista,Mixer,1.0000
2.0000,Especialista,Mixer,1.0000
2.0000,Geral,Mixer,0.5421
2.0333,Especialista,Mixer,1.0000
2.0667,Especialista,Mixer,1.0000
2.1000,Especialista,Mixer,1.0000
2.1333,Especialista,Mixer,1.0000
2.1667,Especialista,Mixer,1.0000
2.2000,Especialista,Mixer,1.0000
2.2333,Especialista,Mixer,1.0000
2.2667,Especialista,Mixer,1.0000
2.3000,Especialista,Mixer,1.0000
2.3333,Especialista,Mixer,1.0000
2.3333,Geral,Mixer,0.5106
2.3667,Especialista,Mixer,1.0000
2.4000,Especialista,Mixer,1.0000
2.4333,Especialista,Mixer,1.0000
2.4667,Especialista,Mixer,1.0000
2.5000,Especialista,Mixer,1.0000
2.5333,Especialista,Mixer,1.0000
2.5667,Especialista,Mixer,1.0000
2.6000,Especialista,Mixer,0.9999
2.6333,Especialista,Mixer,0.9999
2.6667,Especialista,Mixer,0.9996
2.7000,Especialista,Mixer,0.9994
2.7333,Especialista,Mixer,0.9992
2.7667,Especialista,Mixer,0.9997
2.8000,Especialista,Mixer,0.9997
2.8333,Especialista,Mixer,0.9999
2.8667,Especialista,Mixer,0.9999
2.9000,Especialista,Mixer,0.9998
2.9333,Especialista,Mixer,0.9999
2.9667,Especialista,Mixer,1.0000
3.0000,Especialista,Mixer,1.0000
3.0333,Especialista,Mixer,1.0000
3.0667,Especialista,Mixer,1.0000
3.0667,Geral,Mixer,0.6306
3.1000,Especialista,Mixer,1.0000
3.1000,Geral,Mixer,0.5501
3.1333,Especialista,Mixer,1.0000
3.1667,Especialista,Mixer,1.0000
3.1667,Geral,Mixer,0.5400
3.2000,Especialista,Mixer,1.0000
3.2333,Especialista,Mixer,1.0000
3.2667,Especialista,Mixer,1.0000
3.3000,Especialista,Mixer,1.0000
3.3333,Especialista,Mixer,1.0000
3.3667,Especialista,Mixer,1.0000
3.4000,Especialista,Mixer,1.0000
3.4333,Especialista,Mixer,1.0000
3.4667,Especialista,Mixer,1.0000
3.5000,Especialista,Mixer,1.0000
3.5333,Especialista,Mixer,1.0000
3.5667,Especialista,Mixer,1.0000
3.6000,Especialista,Mixer,1.0000
3.6333,Especialista,Mixer,1.0000
3.6667,Especialista,Mixer,1.0000
3.6667,Geral,Blender,0.5268
3.7000,Especialista,Mixer,1.0000
3.7000,Geral,Blender,0.5472
3.7333,Especialista,Mixer,1.0000
3.7667,Especialista,Mixer,1.0000
3.8000,Especialista,Mixer,1.0000
3.8000,Geral,smartwatch,0.7177
3.8333,Especialista,Mixer,1.0000
3.8333,Geral,smartwatch,0.6152
3.8667,Especialista,Mixer,1.0000
3.8667,Geral,smartwatch,0.5317
3.9000,Especialista,Mixer,1.0000
3.9000,Geral,smartwatch,0.5463
3.9333,Especialista,Mixer,1.0000
3.9667,Especialista,Mixer,1.0000
4.0000,Especialista,Mixer,1.0000
4.0000,Geral,smartwatch,0.5516
4.0333,Especialista,Mixer,1.0000
4.0333,Geral,smartwatch,0.7173
4.0667,Especialista,Mixer,1.0000
4.0667,Geral,smartwatch,0.6622
4.1000,Especialista,Mixer,1.0000
4.1000,Geral,smartwatch,0.6694
4.1333,Especialista,Mixer,1.0000
4.1333,Geral,smartwatch,0.6330
4.1667,Especialista,Mixer,1.0000
4.1667,Geral,smartwatch,0.6462
4.2000,Especialista,Mixer,1.0000
4.2000,Geral,smartwatch,0.7333
4.2333,Especialista,Mixer,1.0000
4.2333,Geral,smartwatch,0.7813
4.2667,Especialista,Mixer,1.0000
4.2667,Geral,smartwatch,0.8008
4.3000,Especialista,Mixer,1.0000
4.3000,Geral,smartwatch,0.7592
4.3333,Especialista,Mixer,1.0000
4.3333,Geral,smartwatch,0.7802
4.3667,Especialista,Mixer,1.0000
4.3667,Geral,smartwatch,0.7938
4.4000,Especialista,Mixer,1.0000
4.4000,Geral,smartwatch,0.7618
4.4333,Especialista,Mixer,1.0000
4.4333,Geral,smartwatch,0.7985
4.4667,Especialista,Mixer,1.0000
4.4667,Geral,smartwatch,0.8090
4.5000,Especialista,Mixer,1.0000
4.5000,Geral,smartwatch,0.7576
4.5333,Especialista,Mixer,0.9998
4.5333,Geral,smartwatch,0.7816
4.5667,Especialista,Mixer,0.9999
4.5667,Geral,smartwatch,0.7810
4.6000,Especialista,Mixer,0.9999
4.6000,Geral,smartwatch,0.7844
4.6333,Especialista,Mixer,0.9998
4.6333,Geral,smartwatch,0.7779
4.6667,Especialista,Mixer,0.9996
4.6667,Geral,smartwatch,0.7809
4.7000,Especialista,Mixer,0.9998
4.7000,Geral,smartwatch,0.7883
4.7333,Especialista,Mixer,0.9999
4.7333,Geral,smartwatch,0.8089
4.7667,Especialista,Mixer,1.0000
4.7667,Geral,smartwatch,0.8234
4.8000,Especialista,Mixer,0.9999
4.8000,Geral,smartwatch,0.8189
4.8333,Especialista,Mixer,0.9998
4.8333,Geral,smartwatch,0.7829
4.8667,Especialista,Mixer,1.0000
4.8667,Geral,smartwatch,0.8016
4.9000,Especialista,Mixer,1.0000
4.9000,Geral,smartwatch,0.8351
4.9333,Especialista,Mixer,1.0000
4.9333,Geral,smartwatch,0.8563
4.9667,Especialista,Mixer,1.0000
4.9667,Geral,smartwatch,0.8417
5.0000,Especialista,Mixer,0.9999
5.0000,Geral,smartwatch,0.8302
5.0333,Especialista,Mixer,1.0000
5.0333,Geral,Mixer,0.5616
5.0667,Especialista,Mixer,1.0000
5.0667,Geral,Mixer,0.5694
5.1000,Especialista,Mixer,1.0000
5.1000,Geral,Mixer,0.5232
5.1333,Especialista,Mixer,1.0000
5.1333,Geral,Mixer,0.5100
5.1667,Especialista,Mixer,1.0000
5.1667,Geral,Mixer,0.5317
5.2000,Especialista,Mixer,1.0000
5.2000,Geral,Mixer,0.5354
5.2333,Especialista,Mixer,1.0000
5.2333,Geral,Mixer,0.5171
5.2667,Especialista,Mixer,1.0000
5.2667,Geral,Mixer,0.5030
5.3000,Especialista,Mixer,1.0000
5.3000,Geral,Mixer,0.5205
5.3333,Especialista,Mixer,1.0000
5.3667,Especialista,Mixer,1.0000
5.3667,Geral,Mixer,0.5357
5.4000,Especialista,Mixer,1.0000
5.4000,Geral,Mixer,0.5345
5.4333,Especialista,Mixer,1.0000
5.4667,Especialista,Mixer,1.0000
5.4667,Geral,Mixer,0.5309
5.5000,Especialista,Mixer,1.0000
5.5000,Geral,Mixer,0.5533
5.5333,Especialista,Mixer,1.0000
5.5333,Geral,Mixer,0.5347
5.5667,Especialista,Mixer,1.0000
5.5667,Geral,Mixer,0.5565
5.6000,Especialista,Mixer,1.0000
5.6000,Geral,Mixer,0.5939
5.6333,Especialista,Mixer,1.0000
5.6333,Geral,Mixer,0.6161
5.6667,Especialista,Mixer,1.0000
5.6667,Geral,Mixer,0.6081
5.7000,Especialista,Mixer,1.0000
5.7000,Geral,Mixer,0.6420
5.7333,Especialista,Mixer,1.0000
5.7333,Geral,Mixer,0.6192
5.7667,Especialista,Mixer,1.0000
5.7667,Geral,Mixer,0.6073
5.8000,Especialista,Mixer,1.0000
5.8000,Geral,Mixer,0.6504
5.8333,Especialista,Mixer,1.0000
5.8333,Geral,Mixer,0.6052
5.8667,Especialista,Mixer,1.0000
5.8667,Geral,Mixer,0.6268
5.9000,Especialista,Mixer,1.0000
5.9000,Geral,Mixer,0.6345
5.9333,Especialista,Mixer,1.0000
5.9333,Geral,Mixer,0.6119
5.9667,Especialista,Mixer,1.0000
5.9667,Geral,Mixer,0.5971
6.0000,Especialista,Mixer,1.0000
6.0000,Geral,Mixer,0.5680
6.0333,Especialista,Mixer,1.0000
6.0333,Geral,Mixer,0.5813
6.0667,Especialista,Mixer,1.0000
6.0667,Geral,Mixer,0.5342
6.1000,Especialista,Mixer,1.0000
6.1000,Geral,Mixer,0.5405
6.1333,Especialista,Mixer,1.0000
6.1333,Geral,Mixer,0.5838
6.1667,Especialista,Mixer,1.0000
6.1667,Geral,Mixer,0.5794
6.2000,Especialista,Mixer,1.0000
6.2000,Geral,Mixer,0.5936
6.2333,Especialista,Mixer,1.0000
6.2333,Geral,Mixer,0.6320
6.2667,Especialista,Mixer,1.0000
6.2667,Geral,Mixer,0.6189
6.3000,Especialista,Mixer,1.0000
6.3000,Geral,Mixer,0.6334
6.3333,Especialista,Mixer,1.0000
6.3333,Geral,Mixer,0.6088
6.3667,Especialista,Mixer,1.0000
6.3667,Geral,Mixer,0.6206
6.4000,Especialista,Mixer,1.0000
6.4000,Geral,Mixer,0.5402
6.4333,Especialista,Mixer,1.0000
6.4333,Geral,Mixer,0.5817
6.4667,Especialista,Mixer,1.0000
6.4667,Geral,Mixer,0.5528
6.5000,Especialista,Mixer,1.0000
6.5000,Geral,Mixer,0.5287
6.5333,Especialista,Mixer,1.0000
6.5333,Geral,Mixer,0.5462
6.5667,Especialista,Mixer,1.0000
6.6000,Especialista,Mixer,1.0000
6.6333,Especialista,Mixer,1.0000
6.6667,Especialista,Mixer,1.0000
6.7000,Especialista,Mixer,1.0000
6.7333,Especialista,Mixer,1.0000
6.7667,Especialista,Mixer,1.0000
6.8000,Especialista,Mixer,1.0000
