Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Smartwatch,1.0000
0.0000,Geral,smartwatch,0.8542
0.0334,Especialista,Smartwatch,1.0000
0.0334,Geral,smartwatch,0.8546
0.0667,Especialista,Smartwatch,1.0000
0.0667,Geral,smartwatch,0.8509
0.1001,Especialista,Smartwatch,1.0000
0.1001,Geral,smartwatch,0.8471
0.1335,Especialista,Smartwatch,1.0000
0.1335,Geral,smartwatch,0.8451
0.1668,Especialista,Smartwatch,1.0000
0.1668,Geral,smartwatch,0.8464
0.2002,Especialista,Smartwatch,1.0000
0.2002,Geral,smartwatch,0.8437
0.2336,Especialista,Smartwatch,1.0000
0.2336,Geral,smartwatch,0.8427
0.2669,Especialista,Smartwatch,1.0000
0.2669,Geral,smartwatch,0.8422
0.3003,Especialista,Smartwatch,1.0000
0.3003,Geral,smartwatch,0.8460
0.3337,Especialista,Smartwatch,1.0000
0.3337,Geral,smartwatch,0.8452
0.3670,Especialista,Smartwatch,1.0000
0.3670,Geral,smartwatch,0.8378
0.4004,Especialista,Smartwatch,1.0000
0.4004,Geral,smartwatch,0.8387
0.4338,Especialista,Smartwatch,1.0000
0.4338,Geral,smartwatch,0.8365
0.4671,Especialista,Smartwatch,1.0000
0.4671,Geral,smartwatch,0.8307
0.5005,Especialista,Smartwatch,1.0000
0.5005,Geral,smartwatch,0.8374
0.5339,Especialista,Smartwatch,1.0000
0.5339,Geral,smartwatch,0.8284
0.5672,Especialista,Smartwatch,1.0000
0.5672,Geral,smartwatch,0.8477
0.6006,Especialista,Smartwatch,1.0000
0.6006,Geral,smartwatch,0.8386
0.6340,Especialista,Smartwatch,1.0000
0.6340,Geral,smartwatch,0.8425
0.6673,Especialista,Smartwatch,1.0000
0.6673,Geral,smartwatch,0.8433
0.7007,Especialista,Smartwatch,1.0000
0.7007,Geral,smartwatch,0.8454
0.7341,Especialista,Smartwatch,1.0000
0.7341,Geral,smartwatch,0.8435
0.7674,Especialista,Smartwatch,1.0000
0.7674,Geral,smartwatch,0.8324
0.8008,Especialista,Smartwatch,1.0000
0.8008,Geral,smartwatch,0.8348
0.8342,Especialista,Smartwatch,1.0000
0.8342,Geral,smartwatch,0.8397
0.8675,Especialista,Smartwatch,1.0000
0.8675,Geral,smartwatch,0.8355
0.9009,Especialista,Smartwatch,1.0000
0.9009,Geral,smartwatch,0.8453
0.9343,Especialista,Smartwatch,1.0000
0.9343,Geral,smartwatch,0.8483
0.9676,Especialista,Smartwatch,1.0000
0.9676,Geral,smartwatch,0.8433
1.0010,Especialista,Smartwatch,1.0000
1.0010,Geral,smartwatch,0.8467
1.0344,Especialista,Smartwatch,1.0000
1.0344,Geral,smartwatch,0.8495
1.0677,Especialista,Smartwatch,1.0000
1.0677,Geral,smartwatch,0.8455
1.1011,Especialista,Smartwatch,1.0000
1.1011,Geral,smartwatch,0.8417
1.1345,Especialista,Smartwatch,1.0000
1.1345,Geral,smartwatch,0.8382
1.1678,Especialista,Smartwatch,1.0000
1.1678,Geral,smartwatch,0.8397
1.2012,Especialista,Smartwatch,1.0000
1.2012,Geral,smartwatch,0.8373
1.2346,Especialista,Smartwatch,1.0000
1.2346,Geral,smartwatch,0.8353
1.2679,Especialista,Smartwatch,1.0000
1.2679,Geral,smartwatch,0.8347
1.3013,Especialista,Smartwatch,1.0000
1.3013,Geral,smartwatch,0.8343
1.3347,Especialista,Smartwatch,1.0000
1.3347,Geral,smartwatch,0.8356
1.3680,Especialista,Smartwatch,1.0000
1.3680,Geral,smartwatch,0.8412
1.4014,Especialista,Smartwatch,1.0000
1.4014,Geral,smartwatch,0.8590
1.4348,Especialista,Smartwatch,1.0000
1.4348,Geral,smartwatch,0.8533
1.4681,Especialista,Smartwatch,1.0000
1.4681,Geral,smartwatch,0.8572
1.5015,Especialista,Smartwatch,1.0000
1.5015,Geral,smartwatch,0.8563
1.5349,Especialista,Smartwatch,1.0000
1.5349,Geral,smartwatch,0.8573
1.5682,Especialista,Smartwatch,1.0000
1.5682,Geral,smartwatch,0.8647
1.6016,Especialista,Smartwatch,1.0000
1.6016,Geral,smartwatch,0.8659
1.6350,Especialista,Smartwatch,1.0000
1.6350,Geral,smartwatch,0.8630
1.6683,Especialista,Smartwatch,1.0000
1.6683,Geral,smartwatch,0.8558
1.7017,Especialista,Smartwatch,1.0000
1.7017,Geral,smartwatch,0.8535
1.7351,Especialista,Smartwatch,1.0000
1.7351,Geral,smartwatch,0.8356
1.7684,Especialista,Smartwatch,1.0000
1.7684,Geral,smartwatch,0.8455
1.8018,Especialista,Smartwatch,1.0000
1.8018,Geral,smartwatch,0.8530
1.8352,Especialista,Smartwatch,1.0000
1.8352,Geral,smartwatch,0.8518
1.8685,Especialista,Smartwatch,1.0000
1.8685,Geral,smartwatch,0.8520
1.9019,Especialista,Smartwatch,1.0000
1.9019,Geral,smartwatch,0.8463
1.9353,Especialista,Smartwatch,1.0000
1.9353,Geral,smartwatch,0.8489
1.9686,Especialista,Smartwatch,1.0000
1.9686,Geral,smartwatch,0.8489
2.0020,Especialista,Smartwatch,1.0000
2.0020,Geral,smartwatch,0.8546
2.0354,Especialista,Smartwatch,1.0000
2.0354,Geral,smartwatch,0.8445
2.0687,Especialista,Smartwatch,1.0000
2.0687,Geral,smartwatch,0.8471
2.1021,Especialista,Smartwatch,1.0000
2.1021,Geral,smartwatch,0.8501
2.1355,Especialista,Smartwatch,1.0000
2.1355,Geral,smartwatch,0.8463
2.1688,Especialista,Smartwatch,1.0000
2.1688,Geral,smartwatch,0.8509
2.2022,Especialista,Smartwatch,1.0000
2.2022,Geral,smartwatch,0.8501
2.2356,Especialista,Smartwatch,1.0000
2.2356,Geral,smartwatch,0.8418
2.2689,Especialista,Smartwatch,1.0000
2.2689,Geral,smartwatch,0.8411
