Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Hair_Dryer,0.8780
0.0333,Especialista,Hair_Dryer,0.7791
0.0667,Especialista,Hair_Dryer,0.8014
0.1000,Especialista,Hair_Dryer,0.8279
0.1333,Especialista,Hair_Dryer,0.7734
0.1667,Especialista,Hair_Dryer,0.8879
0.2000,Especialista,Hair_Dryer,0.8646
0.2333,Especialista,Hair_Dryer,0.7664
0.2667,Especialista,Hair_Dryer,0.6320
0.3000,Especialista,Hair_Dryer,0.5512
0.3333,Especialista,Hair_Dryer,0.5616
0.3667,Especialista,Hair_Dryer,0.5749
0.4333,Especialista,Hair_Dryer,0.5722
0.4667,Especialista,Hair_Dryer,0.5786
0.5000,Especialista,Hair_Dryer,0.5556
0.5667,Especialista,Hair_Dryer,0.5111
0.6000,Especialista,Hair_Dryer,0.8027
0.6333,Especialista,Hair_Dryer,0.8028
0.6667,Especialista,Hair_Dryer,0.7053
0.7000,Especialista,Hair_Dryer,0.7655
0.7333,Especialista,Hair_Dryer,0.7956
0.7667,Especialista,Hair_Dryer,0.7145
0.8000,Especialista,Hair_Dryer,0.7016
0.8333,Especialista,Hair_Dryer,0.6830
0.9000,Especialista,Hair_Dryer,0.6117
0.9333,Especialista,Hair_Dryer,0.5382
1.0000,Especialista,Mixer,0.5793
1.0333,Especialista,Mixer,0.5243
1.1000,Especialista,Mixer,0.5351
1.1333,Especialista,Hair_Dryer,0.5393
1.1667,Especialista,Hair_Dryer,0.5012
1.2000,Especialista,Mixer,0.7323
1.2333,Especialista,Mixer,0.7624
1.2667,Especialista,Mixer,0.7386
1.3000,Especialista,Mixer,0.7505
1.3333,Especialista,Mixer,0.7743
1.3667,Especialista,Mixer,0.8691
1.4000,Especialista,Mixer,0.9013
1.4333,Especialista,Mixer,0.9131
1.4667,Especialista,Mixer,0.9252
1.5000,Especialista,Mixer,0.9273
1.5333,Especialista,Mixer,0.8659
1.5667,Especialista,Mixer,0.8157
1.6000,Especialista,Mixer,0.8415
1.6333,Especialista,Mixer,0.8561
1.6667,Especialista,Mixer,0.9048
1.7000,Especialista,Mixer,0.9567
1.7333,Especialista,Mixer,0.9242
1.7667,Especialista,Mixer,0.9305
1.8000,Especialista,Mixer,0.6959
1.8333,Especialista,Mixer,0.6408
1.8667,Especialista,Mixer,0.7494
1.9000,Especialista,Mixer,0.6431
1.9333,Especialista,Mixer,0.5401
1.9667,Especialista,Hair_Dryer,0.5022
2.0000,Especialista,Hair_Dryer,0.5467
2.0333,Especialista,Hair_Dryer,0.5578
2.0667,Especialista,Hair_Dryer,0.6860
2.1000,Especialista,Hair_Dryer,0.7529
2.1333,Especialista,Hair_Dryer,0.8793
2.1667,Especialista,Hair_Dryer,0.8373
2.2000,Especialista,Hair_Dryer,0.8915
2.2333,Especialista,Hair_Dryer,0.7060
2.2667,Especialista,Hair_Dryer,0.5884
2.3000,Especialista,Hair_Dryer,0.5596
2.3333,Especialista,Hair_Dryer,0.6367
2.3667,Especialista,Hair_Dryer,0.6630
2.4000,Especialista,Hair_Dryer,0.8184
2.4333,Especialista,Hair_Dryer,0.8456
2.4667,Especialista,Hair_Dryer,0.9106
2.5000,Especialista,Hair_Dryer,0.8241
2.5333,Especialista,Hair_Dryer,0.8606
2.5667,Especialista,Hair_Dryer,0.7885
2.6000,Especialista,Mixer,0.7452
2.6333,Especialista,Mixer,0.6322
2.6667,Especialista,Mixer,0.8297
2.7000,Especialista,Mixer,0.8567
2.7333,Especialista,Mixer,0.6487
2.7667,Especialista,Mixer,0.8954
2.8000,Especialista,Mixer,0.7673
2.8333,Especialista,Mixer,0.6232
2.9000,Especialista,Hair_Dryer,0.6404
2.9333,Especialista,Hair_Dryer,0.7085
2.9667,Especialista,Hair_Dryer,0.8527
3.0000,Especialista,Hair_Dryer,0.8926
3.0333,Especialista,Hair_Dryer,0.8408
3.0667,Especialista,Hair_Dryer,0.7586
3.1000,Especialista,Hair_Dryer,0.8166
3.1333,Especialista,Hair_Dryer,0.8111
3.1667,Especialista,Hair_Dryer,0.8012
3.2000,Especialista,Hair_Dryer,0.7892
3.2333,Especialista,Hair_Dryer,0.8243
3.2667,Especialista,Hair_Dryer,0.8421
3.3000,Especialista,Hair_Dryer,0.8394
3.3333,Especialista,Hair_Dryer,0.8795
3.3667,Especialista,Hair_Dryer,0.9064
3.4000,Especialista,Hair_Dryer,0.9023
3.4333,Especialista,Hair_Dryer,0.9027
3.4667,Especialista,Hair_Dryer,0.8962
3.5000,Especialista,Hair_Dryer,0.8758
3.5333,Especialista,Hair_Dryer,0.8649
3.5667,Especialista,Hair_Dryer,0.7510
3.6000,Especialista,Hair_Dryer,0.7385
3.6333,Especialista,Hair_Dryer,0.5009
3.6667,Especialista,Mixer,0.7818
3.7000,Especialista,Mixer,0.8359
3.7333,Especialista,Hair_Dryer,0.6038
3.7667,Especialista,Hair_Dryer,0.6627
3.8000,Especialista,Hair_Dryer,0.7642
3.8333,Especialista,Hair_Dryer,0.6570
3.8667,Especialista,Hair_Dryer,0.5965
3.9000,Especialista,Hair_Dryer,0.6107
3.9333,Especialista,Hair_Dryer,0.5971
3.9667,Especialista,Hair_Dryer,0.6839
4.0000,Especialista,Hair_Dryer,0.6256
4.0333,Especialista,Hair_Dryer,0.8839
4.0667,Especialista,Hair_Dryer,0.9111
4.1000,Especialista,Hair_Dryer,0.9003
4.1333,Especialista,Hair_Dryer,0.8779
4.1667,Especialista,Hair_Dryer,0.8699
4.2000,Especialista,Hair_Dryer,0.8598
4.2333,Especialista,Hair_Dryer,0.8857
4.2667,Especialista,Hair_Dryer,0.8628
4.3000,Especialista,Hair_Dryer,0.8943
4.3333,Especialista,Hair_Dryer,0.8864
4.3667,Especialista,Hair_Dryer,0.9042
4.4000,Especialista,Hair_Dryer,0.8602
4.4333,Especialista,Hair_Dryer,0.8525
4.4667,Especialista,Hair_Dryer,0.8590
4.5000,Especialista,Hair_Dryer,0.8726
4.5333,Especialista,Hair_Dryer,0.8347
4.5667,Especialista,Hair_Dryer,0.8287
4.6000,Especialista,Hair_Dryer,0.8359
4.6333,Especialista,Hair_Dryer,0.8075
4.6667,Especialista,Hair_Dryer,0.8079
4.7000,Especialista,Hair_Dryer,0.8071
4.7333,Especialista,Hair_Dryer,0.8253
4.7667,Especialista,Hair_Dryer,0.8295
4.8000,Especialista,Hair_Dryer,0.8096
4.8333,Especialista,Hair_Dryer,0.8004
4.8667,Especialista,Hair_Dryer,0.8265
4.9000,Especialista,Hair_Dryer,0.8198
4.9333,Especialista,Hair_Dryer,0.8251
4.9667,Especialista,Hair_Dryer,0.5880
5.0000,Especialista,Hair_Dryer,0.6828
5.0333,Especialista,Hair_Dryer,0.5929
5.1000,Especialista,Hair_Dryer,0.6459
5.1333,Especialista,Hair_Dryer,0.5681
