Timestamp_Video_s,Modelo,Classe,Confianca
0.0000,Especialista,Smartwatch,1.0000
0.0000,Geral,smartwatch,0.8536
0.0334,Especialista,Smartwatch,1.0000
0.0334,Geral,smartwatch,0.8481
0.0667,Especialista,Smartwatch,1.0000
0.0667,Geral,smartwatch,0.8532
0.1001,Especialista,Smartwatch,0.9999
0.1001,Geral,smartwatch,0.8630
0.1335,Especialista,Smartwatch,1.0000
0.1335,Geral,smartwatch,0.8584
0.1668,Especialista,Smartwatch,1.0000
0.1668,Geral,smartwatch,0.8595
0.2002,Especialista,Smartwatch,1.0000
0.2002,Geral,smartwatch,0.8690
0.2336,Especialista,Smartwatch,1.0000
0.2336,Geral,smartwatch,0.8675
0.2669,Especialista,Smartwatch,1.0000
0.2669,Geral,smartwatch,0.8676
0.3003,Especialista,Smartwatch,1.0000
0.3003,Geral,smartwatch,0.8653
0.3337,Especialista,Smartwatch,1.0000
0.3337,Geral,smartwatch,0.8625
0.3670,Especialista,Smartwatch,1.0000
0.3670,Geral,smartwatch,0.8628
0.4004,Especialista,Smartwatch,1.0000
0.4004,Geral,smartwatch,0.8643
0.4338,Especialista,Smartwatch,1.0000
0.4338,Geral,smartwatch,0.8637
0.4671,Especialista,Smartwatch,1.0000
0.4671,Geral,smartwatch,0.8636
0.5005,Especialista,Smartwatch,1.0000
0.5005,Geral,smartwatch,0.8670
0.5339,Especialista,Smartwatch,1.0000
0.5339,Geral,smartwatch,0.8677
0.5672,Especialista,Smartwatch,1.0000
0.5672,Geral,smartwatch,0.8610
0.6006,Especialista,Smartwatch,1.0000
0.6006,Geral,smartwatch,0.8587
0.6340,Especialista,Smartwatch,1.0000
0.6340,Geral,smartwatch,0.8570
0.6673,Especialista,Smartwatch,1.0000
0.6673,Geral,smartwatch,0.8565
0.7007,Especialista,Smartwatch,1.0000
0.7007,Geral,smartwatch,0.8611
0.7341,Especialista,Smartwatch,1.0000
0.7341,Geral,smartwatch,0.8574
0.7674,Especialista,Smartwatch,1.0000
0.7674,Geral,smartwatch,0.8487
0.8008,Especialista,Smartwatch,1.0000
0.8008,Geral,smartwatch,0.8487
