epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.708,1.20895,2.34394,1.5816,0.92512,0.88406,0.94843,0.56283,1.36787,0.90912,1.605,0.00025601,0.00025601,0.00025601
2,442.496,1.19278,1.51527,1.51951,0.89676,0.82609,0.92484,0.5056,1.5479,1.00624,1.72456,0.000502199,0.000502199,0.000502199
3,658.174,1.19196,1.33862,1.50774,0.91162,0.89696,0.95114,0.56614,1.39908,0.79854,1.62472,0.000738238,0.000738238,0.000738238
4,874.525,1.17042,1.22633,1.48632,0.92983,0.83216,0.93162,0.53886,1.46483,0.92788,1.63649,0.000723321,0.000723321,0.000723321
5,1092.29,1.12996,1.13835,1.46074,0.94598,0.91304,0.96884,0.60039,1.39423,0.69456,1.56563,0.000708095,0.000708095,0.000708095
6,1309.76,1.0953,1.06912,1.42748,0.95884,0.86473,0.94978,0.6004,1.32974,0.84616,1.55219,0.000692869,0.000692869,0.000692869
7,1525.48,1.07839,1.01899,1.41393,0.96863,0.90338,0.97604,0.63706,1.29482,0.66357,1.49667,0.000677643,0.000677643,0.000677643
8,1740.87,1.05469,0.97289,1.39426,0.9807,0.91304,0.97638,0.63711,1.21638,0.5901,1.4294,0.000662417,0.000662417,0.000662417
9,1958.41,1.04691,0.9472,1.38493,0.94943,0.95169,0.98211,0.63914,1.26706,0.59299,1.47004,0.00064719,0.00064719,0.00064719
10,2175.4,1.01683,0.90545,1.36444,0.95274,0.97389,0.98904,0.66579,1.22302,0.53728,1.40036,0.000631964,0.000631964,0.000631964
11,2389.83,1.00889,0.87786,1.35631,0.94114,0.92699,0.97909,0.65467,1.23334,0.6498,1.43676,0.000616738,0.000616738,0.000616738
12,2604.81,0.98849,0.85263,1.33915,0.97302,0.93237,0.98892,0.68064,1.16813,0.54316,1.38207,0.000601512,0.000601512,0.000601512
13,2817.75,0.98892,0.85155,1.34169,0.98018,0.95563,0.98534,0.66264,1.22003,0.53151,1.43042,0.000586286,0.000586286,0.000586286
14,3030.35,0.97887,0.81999,1.33236,0.95811,0.97101,0.9909,0.68202,1.1869,0.53843,1.40589,0.000571059,0.000571059,0.000571059
15,3240.86,0.96066,0.79951,1.31802,0.97075,0.96189,0.98993,0.68459,1.15166,0.53328,1.3624,0.000555833,0.000555833,0.000555833
16,3452.96,0.95377,0.78669,1.31164,0.95609,0.94662,0.98226,0.68571,1.15809,0.51727,1.37772,0.000540607,0.000540607,0.000540607
17,3666.52,0.9425,0.76984,1.30602,0.9609,0.95652,0.98891,0.69284,1.13826,0.49994,1.35408,0.000525381,0.000525381,0.000525381
18,3878.18,0.93596,0.75315,1.30285,0.98041,0.96702,0.98753,0.70576,1.15073,0.47764,1.3422,0.000510155,0.000510155,0.000510155
